client_sample_id,sample_date,matrix,method,analyte,result,qualifier,RL,MDL,unit,dil fac,EDL
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8270E - Semivolatile Organic Compounds (GC/MS),Pentachlorophenol,ND,,3.8,1.5,mg/Kg,20,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8270E - Semivolatile Organic Compounds (GC/MS),Phenanthrene,2.4,,0.38,0.057,mg/Kg,20,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8270E - Semivolatile Organic Compounds (GC/MS),Phenol,ND,,1.3,0.20,mg/Kg,20,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8270E - Semivolatile Organic Compounds (GC/MS),Pyrene,1.5,,0.38,0.054,mg/Kg,20,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8270E - Semivolatile Organic Compounds (GC/MS),3 & 4 Methylphenol,ND,,10,0.74,mg/Kg,20,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 6010D - Metals (ICP) - TCLP,Arsenic,0.0062,J,0.050,0.0041,mg/L,1,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 6010D - Metals (ICP) - TCLP,Barium,0.48,J B,0.50,0.0013,mg/L,1,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 6010D - Metals (ICP) - TCLP,Cadmium,0.0015,J,0.050,0.00020,mg/L,1,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 6010D - Metals (ICP) - TCLP,Chromium,ND,,0.050,0.0040,mg/L,1,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 6010D - Metals (ICP) - TCLP,Lead,0.012,J B,0.050,0.0028,mg/L,1,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 6010D - Metals (ICP) - TCLP,Selenium,ND,,0.050,0.0060,mg/L,1,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 6010D - Metals (ICP) - TCLP,Silver,ND,,0.050,0.00062,mg/L,1,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 7470A - Mercury (CVAA) - TCLP,Mercury,ND,,0.0020,0.00013,mg/L,1,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,1-Trichloroethane",ND,,24,7.4,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,2,2-Tetrachloroethane",ND,,24,14,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,2-Trichloro-1,2,2-trifluoroethane",ND,,24,6.4,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,2-Trichloroethane",ND,,24,5.4,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1-Dichloroethane",ND,,24,4.6,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1-Dichloroethene",ND,,24,7.8,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2,4-Trichlorobenzene",ND,,24,13,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dibromo-3-Chloropropane",ND,,48,21,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Ethylene Dibromide,ND,,24,7.5,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dichlorobenzene",ND,,24,11,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dichloroethane",ND,,24,4.5,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dichloropropane",ND,,24,3.5,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,3-Dichlorobenzene",ND,,24,4.4,mg/Kg,100,
